infostate,action,probability
"cards:20,?|decl:87",0,0.5
"cards:20,?|decl:87",1,0.5
"cards:5,?|decl:88",0,0.5
"cards:5,?|decl:88",1,0.5
"cards:20,?|decl:89",0,0.5
"cards:20,?|decl:89",1,0.5
"cards:5,?|decl:90",0,0.5
"cards:5,?|decl:90",1,0.5
"cards:20,?|decl:91",0,0.5
"cards:20,?|decl:91",1,0.5
"cards:5,?|decl:92",0,0.5
"cards:5,?|decl:92",1,0.5
"cards:20,?|decl:93",0,0.5
"cards:20,?|decl:93",1,0.5
"cards:5,?|decl:94",0,0.5
"cards:5,?|decl:94",1,0.5
"cards:20,?|decl:95",0,0.5
"cards:20,?|decl:95",1,0.5
"cards:5,?|decl:96",0,0.5
"cards:5,?|decl:96",1,0.5
"cards:20,?|decl:97",0,0.5
"cards:20,?|decl:97",1,0.5
"cards:5,?|decl:98",0,0.5
"cards:5,?|decl:98",1,0.5
"cards:20,?|decl:99",0,0.5
"cards:20,?|decl:99",1,0.5
"cards:5,?|decl:100",0,0.5
"cards:5,?|decl:100",1,0.5
"cards:20,?|decl:101",0,0.5
"cards:20,?|decl:101",1,0.5
"cards:5,?|decl:102",0,0.5
"cards:5,?|decl:102",1,0.5
"cards:20,?|decl:103",0,0.5
"cards:20,?|decl:103",1,0.5
"cards:5,?|decl:104",0,0.5
"cards:5,?|decl:104",1,0.5
"cards:20,?|decl:105",0,0.5
"cards:20,?|decl:105",1,0.5
"cards:5,?|decl:106",0,0.5
"cards:5,?|decl:106",1,0.5
"cards:20,?|decl:107",0,0.5
"cards:20,?|decl:107",1,0.5
"cards:5,?|decl:108",0,0.5
"cards:5,?|decl:108",1,0.5
"cards:20,?|decl:109",0,0.5
"cards:20,?|decl:109",1,0.5
"cards:5,?|decl:110",0,0.5
"cards:5,?|decl:110",1,0.5
"cards:20,?|decl:111",0,0.5
"cards:20,?|decl:111",1,0.5
"cards:5,?|decl:112",0,0.5
"cards:5,?|decl:112",1,0.5
"cards:20,?|decl:113",0,0.5
"cards:20,?|decl:113",1,0.5
"cards:5,?|decl:114",0,0.5
"cards:5,?|decl:114",1,0.5
"cards:20,?|decl:115",0,0.5
"cards:20,?|decl:115",1,0.5
"cards:5,?|decl:116",0,0.5
"cards:5,?|decl:116",1,0.5
"cards:20,?|decl:117",0,0.5
"cards:20,?|decl:117",1,0.5
"cards:5,?|decl:118",0,0.5
"cards:5,?|decl:118",1,0.5
"cards:20,?|decl:119",0,0.5
"cards:20,?|decl:119",1,0.5
"cards:5,?|decl:120",1,1.0
"cards:20,?|decl:0",0,0.8928570867347019
"cards:20,?|decl:0",1,0.1071429132652981
"cards:5,?|decl:1",0,0.9285713673469475
"cards:5,?|decl:1",1,0.07142863265305248
"cards:20,?|decl:2",0,0.9374998906250274
"cards:20,?|decl:2",1,0.06250010937497266
"cards:5,?|decl:3",0,0.9999999166666806
"cards:5,?|decl:3",1,8.333331944444675e-08
"cards:20,?|decl:4",0,0.9999998333333888
"cards:20,?|decl:4",1,1.6666661111112962e-07
"cards:5,?|decl:5",0,0.99999990000002
"cards:5,?|decl:5",1,9.9999980000004e-08
"cards:20,?|decl:6",0,0.9999998333333888
"cards:20,?|decl:6",1,1.6666661111112962e-07
"cards:5,?|decl:7",0,0.7774999168333508
"cards:5,?|decl:7",1,0.22250008316664918
"cards:20,?|decl:8",0,0.5
"cards:20,?|decl:8",1,0.5
"cards:5,?|decl:9",0,0.05555565432096571
"cards:5,?|decl:9",1,0.9444443456790343
"cards:20,?|decl:10",0,0.5
"cards:20,?|decl:10",1,0.5
"cards:5,?|decl:11",0,0.5
"cards:5,?|decl:11",1,0.5
"cards:20,?|decl:12",0,0.5
"cards:20,?|decl:12",1,0.5
"cards:5,?|decl:13",0,0.5
